Date,Brand,Media,Investment,NumVisits,NumUniqueVisits,GrossSalesEstimate,GrossSalesPlaced,GrossSalesApproved,QtyOrdersPlaced,QtyOrdersApproved
2016-02-20 00:00:00,1,8,0.0,98,0,52809315.68,83632165.76,52809315.68,237160,159104
2016-02-06 00:00:00,1,8,0.0,70,14,82680998.4,127592416.16,82680998.4,245872,162536
2016-02-14 00:00:00,1,8,0.0,42,14,50335716.64,77016177.04,50335716.64,164560,113696
2016-02-26 00:00:00,1,8,0.0,168,0,39730467.92,66467448.08,39730467.92,189992,114136
2016-02-13 00:00:00,1,8,0.0,154,0,51345631.04,75961979.28,51345631.04,175296,123024
2016-02-19 00:00:00,1,8,0.0,154,14,48093557.6,76384949.52,48093557.6,257752,168080
2016-02-11 00:00:00,1,8,0.0,238,0,47266952.48,76536724.88,47266952.48,217448,148016
2016-03-28 00:00:00,1,8,0.0,448,0,59788428.48,110604191.28,59788428.48,232144,141504
2016-03-26 00:00:00,1,8,0.0,182,14,55524087.52,92127716.56,55524087.52,238304,147928
2016-03-25 00:00:00,1,8,0.0,0,0,63802178.88,105339984.64,63802178.88,279752,171600
2016-03-29 00:00:00,1,8,0.0,1008,0,88097247.04,150005159.92,88097247.04,283096,172304
2016-03-14 00:00:00,1,8,0.0,350,14,44211900.48,66843322.48,44211900.48,204160,138512
2016-03-18 00:00:00,1,8,0.0,392,14,52485298.8,90438454.48,52485298.8,280192,159280
2016-03-21 00:00:00,1,8,0.0,224,0,54093752.24,87934649.44,54093752.24,241472,153560
2016-03-17 00:00:00,1,8,0.0,154,0,57721781.04,98724994.72,57721781.04,273944,163768
2016-03-11 00:00:00,1,8,0.0,266,0,64264696.32,107905149.44,64264696.32,271216,171688
2016-03-12 00:00:00,1,8,0.0,504,42,54380097.2,82302862.4,54380097.2,216656,140184
2016-03-30 00:00:00,1,8,0.0,1092,14,76216833.44,126397125.36,76216833.44,268840,168608
2016-03-13 00:00:00,1,8,0.0,420,0,57104637.04,85395205.28,57104637.04,244640,171776
2016-03-27 00:00:00,1,8,0.0,28,0,42333228.96,67978588.48,42333228.96,185152,122232
2016-03-10 00:00:00,1,8,0.0,616,14,72995564.4,112273995.68,72995564.4,296032,194656
2016-03-04 00:00:00,1,8,0.0,84,0,37138787.84,60700355.76,37138787.84,217624,138688
2016-03-09 00:00:00,1,8,0.0,714,14,48503822.4,85913402.96,48503822.4,213312,135432
2016-03-07 00:00:00,1,8,0.0,28,0,48903435.68,78460717.28,48903435.68,193424,125928
2016-03-01 00:00:00,1,8,0.0,420,0,52783095.2,77865465.92,52783095.2,284152,192192
2016-03-19 00:00:00,1,8,0.0,98,0,57483226.24,98126893.04,57483226.24,269368,159808
2016-03-15 00:00:00,1,8,0.0,476,14,53194924.64,80251608.8,53194924.64,234784,152944
2016-03-02 00:00:00,1,8,0.0,420,0,56605364.64,84033186.16,56605364.64,299992,198528
2016-03-08 00:00:00,1,8,0.0,98,0,47828872.08,76412917.68,47828872.08,196680,121616
